mae,rmse,mape,ENCODED_MCT,train_points,eval_points,model
0.11958413136052197,0.14585918137263107,28.761702924896777,2AF934A41E,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0637092158341293,0.0826648121715596,62.55816297260443,2BF66155BC,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.03210652968625971,0.03210652968625971,7.6994075986234325,2C72D19DB4,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2C8DAA2BF9,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2CF63CC8AA,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.11133333333333335,0.13635492901493027,19.096626643796462,2E4CDEA048,11,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2E5E8F46A2,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.05719392381486482,0.09272957169061316,13.461481193445685,2E8B2318F2,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2EAE67C0B4,11,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2F190FBDCA,15,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.14280874716149372,0.14289323542812968,24.49549694022191,2F2BBD5117,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,2FB475D73E,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.09598786469208502,0.09844065753145424,21.530499653528032,2FF80BC960,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.05566666666666666,0.09641749495466749,13.349320543565145,304DF7C3D2,12,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.02992209875339406,0.02995985280197533,3.989613167119208,30623F3257,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
5.551115123125783e-17,5.551115123125783e-17,1.331202667416255e-14,3115CB8448,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,312F1E6B7B,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.01691761733456983,0.01861649876036343,2.2556823112759776,32514851CD,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,335B38273C,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,33706FFD69,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
5.285661778634913e-09,9.15503475222055e-09,2.1142647114539654e-06,33C513E513,15,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
