mae,rmse,mape,ENCODED_MCT,train_points,eval_points
,,,CB42B1688B,18,6
,,,CD4571800C,18,6
,,,CDAEDB0A25,18,6
,,,CEC2707AF8,8,6
,,,CED8E4AEE5,18,6
,,,CF11E9E059,18,6
,,,D01DF9EC5F,18,6
,,,D21FE6A7B4,18,6
,,,D2E6E383CD,18,6
,,,D3E9FFD90F,18,6
,,,D3F29D0C95,18,6
,,,D57855D6EF,18,6
,,,D5845DCD06,11,6
,,,D72BC9D1A2,18,6
,,,D731C6D372,18,6
,,,D749124593,18,6
,,,D78D9659F1,17,6
,,,D877FBFA11,18,6
,,,DA38CBD132,18,6
,,,DA4DC755CB,10,6
,,,DA5B732423,18,6
,,,DB4CA4D632,18,6
,,,DD0FCFEDE6,18,6
,,,DD5C3290AF,18,6
,,,DECBA9ED42,10,6
,,,DF8B176772,18,6
,,,E02749FC67,18,6
,,,E0A583DB58,18,6
,,,E1FDBF2D4D,18,6
,,,E427B5E29F,18,6
,,,E474B338BD,18,6
,,,E4899A583F,18,6
,,,E4A9ECB7B9,18,6
,,,E4E4B45D06,18,6
,,,E569E14F36,18,6
,,,E58F84D462,18,6
,,,E61969DA0F,18,6
,,,E655648F43,18,6
,,,E6BF54CE96,18,6
,,,E71673016B,18,6
,,,E72B5A0A41,18,6
,,,E7EF031D24,18,6
,,,EA5FAE889A,18,6
,,,EAD182F319,18,6
,,,EB66B019B5,18,6
,,,EBE0962975,18,6
,,,EBE76155D3,17,6
,,,ECCBAE7ACB,18,6
,,,ED35FCD6A1,18,6
,,,ED968D5FD1,18,6
,,,EE000D3E14,6,6
,,,EE0678A190,10,6
,,,F0082429E9,18,6
,,,F1157A79D0,18,6
,,,F1758BF01F,18,6
,,,F1D42A1E4A,18,6
,,,F2207F8023,18,6
,,,F24F0E217A,18,6
,,,F2A06B9694,18,6
,,,F4013DE365,18,6
,,,F4BEB03DA2,18,6
,,,F4E7570A2E,18,6
,,,F58CA84077,10,6
,,,F8A788D183,6,6
,,,FA8BCD6DDD,17,6
,,,FAB0188A01,18,6
,,,FC69270591,18,6
,,,FCA7A6787B,18,6
,,,FCAF2BC53E,18,6
,,,FCAF3BA597,18,6
,,,FCE9571860,18,6
,,,FD69236F45,18,6
,,,FDC922ABCE,18,6
,,,FDD6335CBC,18,6
,,,FE826E7775,18,6
,,,FEB83042A5,18,6
,,,FEC2FCF4DA,18,6
,,,FEE6966193,18,6
,,,FF3AE5174C,6,6
,,,FF3C3A8704,13,6
